naam,volledige naam,partij,functie,db-uri,abstract
Henk Pruiksma,Hendrik Sijmen Pruiksma,Anti-Revolutionaire Partij,lid Eerste Kamer der Staten-Generaal;lid Provinciale Staten van Friesland;lid gemeenteraad van Leeuwarden,http://nl.dbpedia.org/resource/Henk_Pruiksma,"Hendrik Sijmen (Henk) Pruiksma (Makkum, 27 december 1947) is een Nederlands rechter en voormalig politicus. Na het voltooien van de HBS-a in Sneek studeerde hij, na de dienstplicht als reserve-officier bij de Koninklijke Landmacht, fiscaal recht in Groningen (1968 - 1973) en deed hij in 1982 een aanvullend doctoraal examen Nederlands Recht te Leiden.In 1973 wordt Pruiksma inspecteur van 's Rijksbelastingen, tot hij in 1981 gerechtsauditeur wordt bij het hof in Leeuwarden. In 1978 wordt Pruiksma lid van de ARP en gemeenteraadslid in Leeuwarden, en in 1980 bij de fusie van ARP, KVP en CHU tot het CDA van die partij.In 1985 wordt hij rechter bij de arrondissementsrechtbank en in 1988 raadsheer bij het gerechtshof. In 1999 promoveert hij tot vicepresident en in 2000 wordt hij coördinerend vicepresident.Van 1991 tot en met 2003 is hij lid van de Provinciale Staten van Friesland, en in 2005 volgt hij voor twee jaar Alis Koekkoek op in de Eerste Kamer, die overleden is. Hij hield zich in de Eerste Kamer bezig met justitie, onderwijs en binnenlands bestuur en was voorzitter van de vaste commissie voor Onderwijs.Hiernaast is hij ook sinds 1998 lid (sinds 2005 plaatsvervangend voorzitter) van het Centraal Tuchtcollege voor de Gezondheidszorg (Medisch tuchtcollege), was hij van 1989 tot 2003 lid van de Rijkscommissie Friese Taal en van 1990 tot 2004 voorzitter van Stichting REPRO.Pruiksma is lid in de Orde van Oranje-Nassau."
Henk Woldring,Hendrik Egbert Sipke Woldring,Anti-Revolutionaire Partij,Lid Eerste Kamer;Lid partijbestuur ARP;Lid bestuur Dr. Abraham Kuyperstichting;Lid bestuur Wetenschappelijk Instituut voor het CDA;Lid partijbestuur CDA,http://nl.dbpedia.org/resource/Henk_Woldring,"Hendrik Egbert Sipke (Henk) Woldring (Leeuwarden, 25 juli 1943) is een Nederlands politicus en hoogleraar en was van 1999 tot 2007 lid van de CDA-fractie in de Eerste Kamer. Hij is sinds 1986 hoogleraar politieke filosofie aan de Vrije Universiteit te Amsterdam. In de Eerste Kamer hield Woldring zich bezig met wetenschapsbeleid, onderwijs en cultuur.Na het volgen van de ulo (1955 - 1958) en de hbs (1958 - 1963) ging Woldring sociologie studeren aan de Rijksuniversiteit Groningen. Hierna studeerde hij ook nog filosofie aan de Vrije Universiteit Amsterdam van 1968 tot 1971 en voor enige tijd aan de Goethe Universität te Frankfurt. Hij was tegelijk vanaf 1969 wetenschappelijk medewerker aan de Vrije Universiteit. In 1976 promoveerde hij aan de VU in de wijsbegeerte.In 1986 werd Woldring benoemd als hoogleraar politieke filosofie aan diezelfde universiteit. Vanaf 1970 was hij lid van de ARP en hij zat in het partijbestuur toen die fuseerde tot het CDA in oktober 1980. Ook was hij bestuurslid van het Wetenschappelijk Instituut van de ARP (de Dr. Abraham Kuyperstichting), een functie die hij nog twee jaar zou voortzetten bij het Wetenschappelijk Instituut voor het CDA. Daarnaast was hij ook lid van het bestuur van de Stichting CDA-huisvesting, en bij de CDA-afdeling Amstelveen (1983-1985).In juni 1999 werd Woldring gekozen als lid van de Eerste Kamer der Staten-Generaal, wat hij tot zijn aftreden om persoonlijke redenen in 2007 zou blijven.Op 20 oktober 2010 kondigde hij aan zijn CDA lidmaatschap te hebben opgezegd vanwege de samenwerking die deze partij met de discriminatoire PVV was aangegaan en de anti-intellectuele interne machtsstrijd die daarmee gepaard ging.."
Hilbrand Nawijn,Hilbrand Pier Anne Nawijn,Anti-Revolutionaire Partij,Lijst Pim Fortuyn;Tweede Kamer der Staten-Generaal;Groep Nawijn;Minister voor Vreemdelingenzaken en Integratie;Gemeenteraadslid Zoetermeer CDA;Gemeenteraadslid Zoetermeer LHN,http://nl.dbpedia.org/resource/Hilbrand_Nawijn,"Hilbrand Pier Anne Nawijn (Kampen, 8 augustus 1948) is een Nederlands politicus en advocaat. Voor de Lijst Pim Fortuyn (LPF) was hij in het kabinet-Balkenende I minister voor Vreemdelingenzaken en Integratie. Vervolgens zat hij voor de LPF in de Tweede Kamer der Staten-Generaal, tot hij zich op 22 juni 2005 afsplitste en als onafhankelijk Kamerlid verder ging. Aan de Tweede Kamerverkiezingen van 2006 nam hij deel met de door hem zelf opgerichte Partij voor Nederland. Sinds 2006 is hij fractievoorzitter van de Lijst Hilbrand Nawijn in zijn woonplaats Zoetermeer."
Jan Nico Scholten,Jan Nico Scholten,Anti-Revolutionaire Partij,"Lid Tweede Kamer;Lid Eerste Kamer;Lid Provinciale Staten van Noord-Brabant;Burgemeester van Andel, Giessen en Rijswijk",http://nl.dbpedia.org/resource/Jan_Nico_Scholten,"Jan Nico Scholten (Dalen, 4 juni 1932) is een voormalig Nederlands politicus."
Johan de Leeuw,Johannes Floris de Leeuw,Anti-Revolutionaire Partij,Lid van de Tweede Kamer;voorzitter CDJA,http://nl.dbpedia.org/resource/Johan_de_Leeuw,"Johannes Floris (Johan) de Leeuw (Barneveld, 19 augustus 1953) is een Nederlands ambtenaar en voormalig CDA-politicus."
Klaas Tuinstra,Klaas Tuinstra,Anti-Revolutionaire Partij,lid Tweede Kamer der Staten-Generaal;lid Provinciale Staten van Friesland;lid gemeenteraad van Het Bildt,http://nl.dbpedia.org/resource/Klaas_Tuinstra,"Klaas Tuinstra (Sint Annaparochie, 10 februari 1945) is een voormalig Nederlands CDA-politicus.Tuinstra was een Fries Tweede Kamerlid van het CDA die als actuaris was opgeleid en zijn politieke loopbaan begon bij ARJOS. Al op jonge leeftijd was hij politiek actief als ARP-raadslid van Het Bildt en als Fries Statenlid. Hij was werkzaam bij een verzekeringsmaatschappij en later bedrijfsanalist. In de Kamer was hij woordvoerder op uiteenlopende terreinen die samenhingen met inkomens en financiering."
Kobus Walsma,Jacobus Walsma,Anti-Revolutionaire Partij,Lid Eerste Kamer;Lid Provinciale Staten van Friesland;Lid Gedeputeerde Staten van Friesland,http://nl.dbpedia.org/resource/Kobus_Walsma,"Jacobus (Kobus) Walsma (Holwerd, 11 september 1942) is een Nederlands politicus die zesenhalf jaar (van 2000 tot 2007) Eerste Kamerlid voor het Christen-Democratisch Appèl (CDA) was.Na de middelbare landbouwschool (1955 - 1959) en de driejarige hbs (1961 - 1962) volgde Walsma de hogere landbouwschool (1962 - 1966) en studeerde hij biologie aan de Rijksuniversiteit Groningen (1967 - 1973). Tijdens zijn studie biologie, vanaf 1969, werkte Walsma als docent biologie aan de bijzondere Hogere Landbouwschool te Leeuwarden. Na zijn studie zou hij hier ook adjunct-directeur en later directeur (tot 1986) worden.In 1978 werd hij gekozen in de Provinciale Staten van Friesland en hij was in de periode 1986-1999 lid van Gedeputeerde Staten van Friesland met diverse portefeuilles. Met die achtergrond voerde hij in de Senaat over de onderwerpen landbouw, landbouwonderwijs en hoger onderwijs - onder meer over de invoering van de bachelor-masterstructuur - en waterstaat het woord. Hij was tevens voorzitter van de Landbouwcommissie in de Eerste Kamer.Naast zijn politieke loopbaan bekleedde en bekleedt Walsma diverse bestuursfuncties bij stichtingen, commissies en bedrijven.In 1999 werd hij onderscheiden als Ridder in de Orde van Oranje-Nassau."
Lous Coppoolse,Laurens Coppoolse,Anti-Revolutionaire Partij,Lid Eerste Kamer;lid Provinciale Staten van Zeeland;lid Gedeputeerde Staten van Zeeland;voorzitter CDA Zeeland;lid partijbestuur CDA;Lid Eerste Kamer;lid Provinciale Staten van Zeeland;lid Gedeputeerde Staten van Zeeland;voorzitter CDA Zeeland;lid partijbestuur CDA,http://nl.dbpedia.org/resource/Lous_Coppoolse,"Laurens (Lous) Coppoolse (Grijpskerke, 17 november 1945) is een Nederlands politicus en leraar aardrijkskunde en was van 16 januari tot 12 juni 2007 lid van de CDA-fractie in de Eerste Kamer. Hij verving Henk Woldring tijdens zijn termijn.Na het volgen van de ulo (1958 - 1962) en de Christelijke Kweekschool voor onderwijzers  (1962 - 1967) is Coppoolse van 1967 tot 1995 leraar aardrijkskunde geweest op verschillende scholen.De politieke loopbaan van Coppoolse begon in 1965, hij werd toen voorzitter van de ARJOS (Anti Revolutionaire JOngeren Studieclubs) afdeling Noord-West Walcheren, dit bleef hij tot 1967. Coppoolse bleef lid van de ARJOS tot 1972. Van 1970 tot 1973 was hij voorzitter van de ARP kiesvereniging Papendrecht.Vanaf 1980 bekleedde Coppoolse verscheidene voorzitterschappen in de CDA: afdeling Mariekerke (1981-1987),  regio Walcheren (1982-1986) en Zeeland (2003-2007). Van 2003 tot 2007 was hij ook lid van het bestuur van de CDA. Sinds april 2006 is Coppoolse bestuurslid bij de NCRV. Daarnaast bekleedt hij nog enkele andere nevenfunctiesOp 29 april 2003 werd Coppoolse Ridder in de Orde van Oranje-Nassau."
Meindert Leerling,Meindert Leerling,Anti-Revolutionaire Partij,Fractievoorzitter;Lid federatiebestuur RPF;Lid Tweede Kamer RPF,http://nl.dbpedia.org/resource/Meindert_Leerling,"Meindert Leerling (Heerjansdam, 11 januari 1936) is een Nederlandse ex-politicus voor de Reformatorische Politieke Federatie (RPF). Voor deze voormalige politieke partij was hij van 1981 tot 1994 lid van de Tweede Kamer. Hij was in deze periode tevens fractievoorzitter.Leerling was oorspronkelijk (sport-)journalist. Hij werkte van 1954 tot 1971 als chef-sportredactie voor de dagbladencombinatie het Rotterdammer Kwartet waarvoor hij onder meer voetbalwedstrijden en Olympische Spelen versloeg en maakte daarna de overstap naar de Evangelische Omroep. Voor deze omroep was hij in de jaren zeventig ook journalistiek werkzaam en vanaf 1977 als tv-regisseur.In 1981 werd Leerling lijsttrekker van de RPF, een partij die zes jaar eerder was opgericht als reactie op de fusie van ARP, CHU en KVP tot CDA. Wat bij de verkiezingen van 1977 nog niet lukte, lukte onder leiderschap van Leerling wel; de RPF kwam bij de verkiezingen van 1981 als nieuwe partij met twee zetels in de Tweede Kamer. Bij de Tweede Kamerverkiezingen van 1982 werd dit resultaat geëvenaard.In 1985 ontstond een conflict tussen het Federatiebestuur van de RPF en het Kamerlid Aad Wagenaar. De laatste trad op 23 april 1985 uit de fractie en ging verder als Groep Wagenaar. Bij de verkiezingen van 1986 en die van 1989 was Leerling opnieuw lijsttrekker. Doordat de RPF slechts één zetel wist te behalen vormde hij in deze periode een eenmansfractie. Bij zijn afscheid in 1994 werd hij benoemd tot Ridder in de Orde van de Nederlandse Leeuw.Op initiatief van Leerling kwam er eind 2013 verzoening tussen hem en Wagenaar.Leerling werd als lijsttrekker en fractievoorzitter opgevolgd door Leen van Dijke. Na zijn vertrek uit de Kamer was Leerling nog actief op de achtergrond binnen de RPF en de ChristenUnie. Hij werd lid van de commissie-Cnossen, die bekijkt welke eisen aan het optreden en privéleven van ChristenUnie-politici mogen worden gesteld. De commissie-Cnossen kwam op 19 mei 2008 naar buiten met een advies aan het CU-partijbestuur. Hoofdconclusie was dat partijvertegenwoordigers de politiek die de CU voorstaat, ""geloofwaardig"" kunnen uitdragen. Leerling was het enige commissielid met een afwijkend standpunt; de partij zou volgens hem bepaalde gedragingen of levenswijzen expliciet in haar gedragscode moeten afwijzen, waaronder het samenleven in een andere relatie dan het wettig huwelijk tussen man en vrouw. Ook wilde hij uitsluiten dat rooms-katholieken de partij kunnen vertegenwoordigen.Meindert Leerling was ook voorzitter van de ChristenUnie-kiesvereniging in zijn woonplaats Bergambacht. Op 23 april 2008 nam hij afscheid van die functie, wat het einde betekende van zijn actieve politieke betrokkenheid."
Rinse Zijlstra,Rinse Zijlstra,Anti-Revolutionaire Partij,Burgemeester van Smallingerland;Lid Tweede Kamer ARP;Lid Eerste Kamer CDA,http://nl.dbpedia.org/resource/Rinse_Zijlstra,"Rinse Zijlstra (Oosterbierum, 19 april 1927) is een voormalig Nederlands politicus voor de ARP en later het CDA.Tot 1949 volgde hij zijn opleiding aan de Rijks Hogere Burgerschool te Harlingen. Daarna studeerde hij van 1949 tot 1954 en van 1956 tot 1958 economie aan de Vrije Universiteit Amsterdam.Van 1963 tot 1966 was hij lid van het Centraal Comité van de ARP. Van 23 februari 1967 tot 10 mei 1971 was hij Tweede Kamerlid namens deze partij ARP. Hij was woordvoerder van de ARP-fractie op het gebied van landbouw, economische zaken en ontwikkelingssamenwerking. Van 23 juni 1973 tot 1977 was hij vicevoorzitter van de ARP; van 1974 tot 1975 bekleedde hij deze functie binnen het CDA.Hij was in 1974 kandidaat voor de functie van Commissaris van de Koningin in Zeeland, maar kreeg deze functie niet. Van 1 september 1975 tot 1 september 1981 was hij burgemeester van de gemeente Smallingerland. Op 12 april 1983 kwam hij in de Eerste Kamer voor het CDA. Daar was daar buitenlandwoordvoerder en later ook vier jaar ondervoorzitter van de Eerste Kamer. Op 13 juni 1995 beëindigde hij zijn carrière als senaatslid. Zijlstra had buiten zijn politieke activiteiten ook diverse functies in bedrijfsleven, landbouw en sport. Zo was hij voorzitter van de CBTB (1963-1975) en van de KNSB (1989-1992). Rinse Zijlstra is een broer van voormalig minister-president Jelle Zijlstra. Hij werd op 28 augustus 1968 benoemd tot Officier in de Orde van Oranje-Nassau, op 26 augustus 1975 Ridder in de Orde van de Nederlandse Leeuw en op 6 juni 1995 Commandeur in de Orde van Oranje-Nassau."
Sytze Faber,Sytze Faber,Anti-Revolutionaire Partij,Burgemeester;Gemeenteraad;Tietjerksteradeel;Tweede Kamer;Hoogeveen (gemeente),http://nl.dbpedia.org/resource/Sytze_Faber,"Sytze Faber (Schettens, 22 januari 1937) is een Nederlandse politicoloog-bestuurskundige, columnist, oud-journalist en oud-politicus van de ARP, later van het CDA."
Wolter Lemstra,Wolter Lemstra,Anti-Revolutionaire Partij,Burgemeester van Leiden;Lid Eerste Kamer;Burgemeester van Hengelo,http://nl.dbpedia.org/resource/Wolter_Lemstra,"Wolter Lemstra (Bierum, 26 juni 1935) is een Nederlands hoogleraar en voormalig politicus. Hij was burgemeester van Hengelo en lid van de Eerste Kamer der Staten-Generaal. Daarvoor maakte hij carrière als ambtenaar. Lemstra is lid van het Christen-Democratisch Appèl.Van 1975 tot 1981 was Lemstra gemeentesecretaris van de gemeente Amsterdam. Van 1982 tot 1991 was hij secretaris-generaal op de ministeries van achtereenvolgens WVC en VROM en van 1991 tot 1999 was hij burgemeester van de gemeente HengeloVan juni 2002 tot april 2003 was Lemstra waarnemend burgemeester in de gemeente Leiden, nadat Jan Postma (PvdA) vervroegd met pensioen was gegaan. Hij vervulde in deze tijdelijke functie een belangrijke rol bij het veranderen van de bestuurscultuur en het verbeteren van de relaties van Leiden met de regiogemeenten. Lemstra bekleedt een leerstoel als parttime hoogleraar Publiek Private Samenwerking en Public Management aan de Universiteit Twente. Hij is tevens hoogleraar Bedrijfskunde, in het bijzonder het management van de publieke en non-profit organisaties aan de Rijksuniversiteit Groningen.Wolter Lemstra is de oudere broer van scheikundige Piet Lemstra."
